textid,anger,disgust,fear,joy,sad,surprise
1,0.103913,0.122207,0.0984478,0.138293,0.216938,0.320199
2,0.0980936,0.123242,0.167038,0.158673,0.231576,0.221371
3,0,0,0.0364498,0.40478,0.187688,0.371116
4,0.0834874,0.0996809,0.0943551,0.290521,0.107556,0.324413
5,0.0771343,0.0620914,0.086261,0.275211,0.206624,0.292699
6,0.167165,0.0595256,0.222643,0.016794,0.395163,0.138697
7,0.0265093,0.0178038,0.174582,0.312265,0.118565,0.350276
8,0.095978,0.0279247,0.293265,0.0812131,0.322731,0.178869
9,0.0630376,0.152566,0.0486757,0.147026,0.049127,0.539586
10,0.101744,0.0874981,0.14447,0.273455,0.126513,0.266302
11,0.0967073,0.0379129,0.249632,0.246913,0.226466,0.142348
12,0.0638286,0.0423543,0.197231,0.289084,0.112507,0.294984
13,0.140452,0.0750381,0.243385,0.221023,0.139097,0.180998
14,0.129183,0.0891973,0.142626,0.216978,0.212814,0.209218
15,0.129333,0.147708,0.333012,0.123592,0.184748,0.0815824
16,0.13543,0.120858,0.279531,0.110721,0.187644,0.165812
17,0.0587136,0.0781312,0.117935,0.423778,0.117077,0.204363
18,0.108724,0.0263676,0.139088,0.101788,0.264681,0.359334
19,0.0589684,0.0135312,0.165898,0.2741,0.17915,0.308358
20,0.114805,0.0846185,0.207985,0.279535,0.140933,0.172134
21,0.172991,0.0464229,0.142335,0.372512,0.124058,0.141679
22,0.0954861,0.0513064,0.0974046,0.269209,0.129345,0.35724
23,0.121268,0.0429116,0.196025,0.130174,0.296182,0.213459
24,0.104319,0.0329548,0.0930534,0.113092,0.177617,0.478934
25,0.0915376,0.0673575,0.220009,0.289929,0.170219,0.160941
26,0,0.0411417,0.0673811,0,0.536603,0.354874
27,0.0931177,0.0684085,0.129801,0.296929,0.184005,0.227746
28,0.0420501,0.0425858,0.16803,0.195308,0.144418,0.407599
29,0.164015,0.114806,0.233041,0.105342,0.184524,0.198289
30,0.10725,0.087739,0.263841,0.1746,0.202315,0.16425
